str_id,numatom,energy,finalspacegroup,E-Emin,E_form_fu
POSCAR_24_atoms_24_854,24,-9.410805138333332,1,0.3530958391666683,0.7152230566666695
POSCAR_24_atoms_24_957,24,-9.40867886,1,0.3552221175000003,0.7194756133333335
POSCAR_24_atoms_24_1016,24,-9.405936690833334,1,0.35796428666666635,0.7249599516666656
POSCAR_24_atoms_24_1122,24,-9.405137372083333,1,0.35876360541666763,0.7265585891666682
POSCAR_24_atoms_24_809,24,-9.403539538333334,1,0.3603614391666667,0.7297542566666664
POSCAR_24_atoms_24_1186,24,-9.40122239,1,0.36267858750000137,0.7343885533333356
POSCAR_24_atoms_24_111,24,-9.399860412083333,1,0.3640405654166674,0.7371125091666677
POSCAR_24_atoms_24_1063,24,-9.398961313333333,1,0.364939664166668,0.7389107066666689
POSCAR_24_atoms_24_1003,24,-9.398673940416666,1,0.3652270370833346,0.7394854525000021
POSCAR_24_atoms_24_1048,24,-9.397500302083333,1,0.3664006754166671,0.7418327291666671
POSCAR_24_atoms_24_635,24,-9.397201884583334,1,0.3666990929166669,0.7424295641666667
POSCAR_24_atoms_24_1054,24,-9.3969513125,1,0.3669496649999999,0.7429307083333327
POSCAR_24_atoms_24_108,24,-9.39651698375,1,0.3673839937499999,0.7437993658333326
POSCAR_24_atoms_24_399,24,-9.39409229125,1,0.3698086862499999,0.7486487508333326
POSCAR_24_atoms_24_908,24,-9.394079242083334,1,0.3698217354166662,0.7486748491666653
POSCAR_24_atoms_24_390,24,-9.392229586666668,1,0.3716713908333329,0.7523741599999987
POSCAR_24_atoms_24_22,24,-9.3920572325,1,0.3718437450000014,0.7527188683333357
POSCAR_24_atoms_24_1167,24,-9.391764592916667,1,0.3721363845833334,0.7533041474999997
POSCAR_24_atoms_24_372,24,-9.391025838333332,1,0.372875139166668,0.754781656666669
POSCAR_24_atoms_24_636,24,-9.390925595416666,1,0.3729753820833341,0.7549821425000012
POSCAR_24_atoms_24_501,24,-9.39081850625,1,0.37308247125000094,0.7551963208333348
POSCAR_24_atoms_24_232,24,-9.38990672875,1,0.3739942487499999,0.7570198758333326
POSCAR_24_atoms_24_360,24,-9.387553381666667,1,0.37634759583333377,0.7617265700000004
POSCAR_24_atoms_24_977,24,-9.386834045416666,1,0.3770669320833342,0.7631652425000013
POSCAR_24_atoms_24_426,24,-9.386743955,1,0.3771570225000005,0.7633454233333339
POSCAR_24_atoms_24_179,24,-9.3864190175,1,0.3774819600000008,0.7639952983333345
